denuncia_numero;fecha;hora;mins;hecho_provincia;hecho_municipio;hecho_localidad;hecho_discriminacion;hecho_irregularidades;hecho_lugar;hecho_cometido_por;hecho_tipo_violencia;hecho_accion_realizada;denuncia_estado;denuncia_fecha_cambio_estado;denuncia_via_ingreso;denuncia_fecha_hora_carga;hecho_provincia_id
242;18/12/2011;1;50;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;20/12/2011;Call Center;19/12/2011 16:05;2
243;19/11/2011;23;0;Buenos Aires;Pergamino;Pergamino;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;28/12/2011;Call Center;27/12/2011 17:26;6
244;29/12/2011;1;30;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;5/1/2012;Call Center;4/1/2012 15:46;6
245;8/1/2012;1;20;Buenos Aires;General San Martín;Gral. San Martín;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;9/1/2012;Call Center;9/1/2012 08:20;6
246;8/1/2012;4;0;Neuquén;San Martín de Los Andes;SAN MARTIN DE LOS ANDES;Por indumentaria;;En el interior del local;Controladores;Agresión verbal;;Derivado;9/1/2012;Call Center;9/1/2012 13:03;58
247;12/7/2011;22;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Palermo;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;;Controladores - Personal de empresas de seguridad;Agresión verbal;;Derivado;27/1/2012;Página web de RENCAP ;12/1/2012 12:55;2
248;15/1/2012;2;45;Ciudad Autónoma de Buenos Aires;Barrio Colegiales;;Por indumentaria;El personal de control no esta identificado;En el acceso local;Controladores;;;Derivado;17/1/2012;Call Center;16/1/2012 08:19;2
249;14/1/2012;2;30;Buenos Aires;Lomas de Zamora;Banfield;;;En el interior del local - En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial - Se hizo denuncia policial;Derivado;17/1/2012;Call Center;16/1/2012 08:30;6
250;8/12/2011;3;0;Buenos Aires;Pergamino;Pergamino;Por aspecto físico;;En el interior del local;Controladores;;;Derivado;17/1/2012;Call Center;17/1/2012 09:10;6
251;15/1/2012;3;0;Santa Fe;Esperanza;Esperanza;Por indumentaria;;En el acceso local;Controladores;;;Derivado;17/1/2012;Call Center;17/1/2012 11:22;82
252;22/1/2012;5;0;Córdoba;Villa Carlos Paz;VILLA CARLOS PAZ;Por orientacion sexual;;En el interior del local - En el acceso local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;23/1/2012;Call Center;23/1/2012 08:18;14
253;21/1/2012;0;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;Presencia de menores;En el acceso local;Controladores;Agresión verbal;;Derivado;30/1/2012;Call Center;30/1/2012 08:43;2
254;1/1/2012;0;0;Mendoza;Luján de Cuyo;LUJAN DE CUYO;;No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores;;;;;Derivado;15/2/2012;Página web de RENCAP ;7/2/2012 09:41;50
255;29/12/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio San Telmo;;Por aspecto físico;;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión física;;Derivado;10/2/2012;Call Center;10/2/2012 11:39;2
256;2/5/2011;1;30;Tucumán;San Miguel de Tucumán;SAN MIGUEL DE TUCUMAN;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;13/2/2012;Página web de RENCAP ;13/2/2012 01:28;90
257;8/1/2012;2;45;Neuquén;Chos Malal;CHOS MALAL;;;En el acceso local;Personas vinculadas a la empresa - Policias;Agresión verbal;Se hizo denuncia policial;Derivado;16/2/2012;Call Center;14/2/2012 12:42;58
258;11/2/2012;4;0;Buenos Aires;Lanús;Lanús Este;;;En el interior del local - En el acceso local - En las proximidades del local;Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;15/2/2012;Call Center;14/2/2012 12:48;6
259;9/2/2012;23;30;Buenos Aires;General Pueyrredón;Mar del Plata;Por indumentaria;;En el acceso local - En las proximidades del local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;15/2/2012;Call Center;15/2/2012 12:13;6
260;19/2/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;24/2/2012;Call Center;22/2/2012 08:27;2
261;11/2/2012;0;0;Buenos Aires;San Miguel;San Miguel;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;28/2/2012;Call Center;23/2/2012 19:17;6
262;12/9/2011;4;30;Santa Fe;Rosario;Rosario;Por aspecto físico - Racial;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el interior del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;28/2/2012;Página web de RENCAP ;24/2/2012 17:22;82
263;26/2/2012;3;0;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por aspecto físico;El personal de control no esta identificado;En el interior del local;Personal de empresas de seguridad;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;28/2/2012;Página web de RENCAP ;26/2/2012 05:43;2
264;26/2/2012;4;0;Buenos Aires;Quilmes;Quilmes;Por aspecto físico;El personal de control no esta identificado;;;Agresión verbal - Agresión física;;Derivado;28/2/2012;Página web de RENCAP ;26/2/2012 08:11;6
265;25/2/2012;4;30;Buenos Aires;Quilmes;Quilmes;;El personal de control no esta identificado;En el interior del local - En el acceso local;Controladores - Policias;Agresión verbal - Agresión física;;Derivado;28/2/2012;Call Center;28/2/2012 11:30;6
266;25/2/2012;2;0;Buenos Aires;Lobos;Lobos;Por orientacion sexual;Presencia de menores;En el acceso local;Controladores;Agresión verbal;;Derivado;29/2/2012;Call Center;28/2/2012 12:55;6
267;24/2/2012;2;0;Córdoba;Córdoba;CORDOBA;Por aspecto físico - Por indumentaria - Racial;El personal de control no esta identificado;En el acceso local - En las proximidades del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;;;Derivado;29/2/2012;Página web de RENCAP ;29/2/2012 14:08;14
268;4/3/2012;4;30;Buenos Aires;Hurlingham;Hurlingham;Por indumentaria;;;;Agresión verbal;;Derivado;5/3/2012;Página web de RENCAP ;4/3/2012 04:57;6
269;4/3/2012;2;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Palermo;Por aspecto físico - Por indumentaria;No exhibe nomina de personal de control habilitado;En el acceso local;Controladores;;;Derivado;5/3/2012;Call Center;4/3/2012 13:20;2
270;3/3/2012;4;0;Buenos Aires;Hurlingham;Hurlingham;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Controladores;Agresión verbal;;Derivado;5/3/2012;Página web de RENCAP ;4/3/2012 18:25;6
271;3/1/2012;1;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por orientacion sexual - Por indumentaria;El personal de control no esta identificado;En el acceso local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión física - Agresión sexual;;Derivado;5/3/2012;Página web de RENCAP ;4/3/2012 20:02;2
272;3/3/2012;4;0;Entre Ríos;Victoria;VICTORIA;Por orientacion sexual;;En el acceso local;Controladores;;;Derivado;7/3/2012;Call Center;7/3/2012 11:52;30
273;11/3/2012;4;30;Buenos Aires;Florencio Varela;Fcio. Varela;;;En las proximidades del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;14/3/2012;Call Center;13/3/2012 17:12;6
274;11/3/2012;5;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores;Agresión física;;Derivado;14/3/2012;Call Center;14/3/2012 10:40;2
275;14/3/2012;10;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Parque Patricios;Por aspecto físico;Hay mas personas que las permitidas por la habilitación;;;;;Desestimado;16/3/2012;Página web de RENCAP ;14/3/2012 12:53;2
276;28/1/2006;12;12;Ciudad Autónoma de Buenos Aires;Barrio Recoleta;;;;En el interior del local;;Agresión verbal;;Desestimado;16/3/2012;Página web de RENCAP ;15/3/2012 20:20;2
277;11/3/2012;3;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Racial;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;16/3/2012;Página web de RENCAP ;16/3/2012 11:25;2
278;16/3/2012;3;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;19/3/2012;Página web de RENCAP ;16/3/2012 13:57;2
279;17/3/2012;2;15;Neuquén;Cutral-Co;CUTRAL-CO;;;En el acceso local;Policias;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;20/3/2012;Call Center;18/3/2012 03:01;58
280;18/3/2012;5;0;Buenos Aires;Tigre;Tigre;;El personal de control no esta identificado;En el interior del local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;20/3/2012;Call Center;19/3/2012 08:38;6
281;17/3/2012;2;15;Neuquén;Cutral-Co;CUTRAL-CO;;;En el acceso local;Policias;Agresión verbal - Agresión física;Se hizo denuncia policial;Desestimado;20/3/2012;Call Center;19/3/2012 08:54;58
282;9/3/2012;4;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación;;;;;Derivado;19/3/2012;Página web de RENCAP ;19/3/2012 11:44;2
283;24/2/2012;1;30;Buenos Aires;Lomas de Zamora;Temperley;;;En el acceso local;Controladores;Agresión verbal;;Derivado;21/3/2012;Call Center;20/3/2012 17:48;6
284;16/3/2012;4;0;Buenos Aires;General San Martín;Villa Gral. San Martín;;Presencia de menores;En el interior del local;;;;Derivado;26/3/2012;Página web de RENCAP ;23/3/2012 14:23;6
285;24/3/2012;1;20;Ciudad Autónoma de Buenos Aires;Barrio Almagro;;Por orientacion sexual;;En el acceso local;Controladores;Agresión verbal;;Derivado;26/3/2012;Call Center;26/3/2012 08:58;2
286;25/3/2012;3;30;Buenos Aires;Lomas de Zamora;Banfield;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;26/3/2012;Call Center;26/3/2012 14:35;6
287;15/3/2012;2;30;Córdoba;Córdoba;CORDOBA;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;En las proximidades del local;;Agresión verbal;Se solicitó asistencia policial;Derivado;3/4/2012;Página web de RENCAP ;1/4/2012 18:21;14
288;2/4/2012;1;30;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por indumentaria;Hay mas personas que las permitidas por la habilitación;En el acceso local;Controladores;;;Derivado;3/4/2012;Call Center;2/4/2012 03:07;2
289;2/4/2012;1;15;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por indumentaria;No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación;En el acceso local;Personal de empresas de seguridad;;;Desestimado;3/4/2012;Página web de RENCAP ;2/4/2012 15:03;2
290;2/4/2012;2;10;Buenos Aires;Pergamino;Pergamino;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Controladores;;;Derivado;3/4/2012;Call Center;2/4/2012 15:24;6
291;31/3/2012;4;20;Río Negro;San Carlos de Bariloche;SAN CARLOS DE BARILOCHE;;El personal de control no esta identificado;En el interior del local;Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;3/4/2012;Página web de RENCAP ;3/4/2012 09:23;62
292;1/3/2012;4;0;Buenos Aires;General San Martín;Villa Lynch;Por aspecto físico;El personal de control no esta identificado;En el interior del local;Controladores - Policias;Agresión verbal - Agresión física;;Derivado;3/4/2012;Página web de RENCAP ;3/4/2012 12:50;6
293;31/3/2012;0;30;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;4/4/2012;Página web de RENCAP ;3/4/2012 16:37;2
294;1/4/2012;0;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Por aspecto físico - Por indumentaria;;;;;;Derivado;4/4/2012;Página web de RENCAP ;3/4/2012 16:57;2
295;1/4/2012;0;30;Ciudad Autónoma de Buenos Aires;Barrio Belgrano;;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;4/4/2012;Página web de RENCAP ;3/4/2012 16:58;2
296;31/3/2012;3;0;Buenos Aires;Mercedes;Mercedes;Por aspecto físico - Por indumentaria;;En el interior del local - En las proximidades del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias;Agresión verbal - Agresión física;;Derivado;4/4/2012;Página web de RENCAP ;3/4/2012 18:28;6
297;31/3/2012;3;0;Buenos Aires;Mercedes;Mercedes;Por aspecto físico - Por indumentaria;;En el interior del local - En las proximidades del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias;Agresión verbal - Agresión física;;Derivado;4/4/2012;Página web de RENCAP ;3/4/2012 18:38;6
298;1/4/2012;0;30;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por indumentaria;;En el acceso local;Controladores;;;Derivado;4/4/2012;Call Center;3/4/2012 19:57;2
299;5/4/2012;1;0;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Por indumentaria;El personal de control no esta identificado;En el acceso local;Controladores - Personas vinculadas a la empresa;;;Derivado;9/4/2012;Call Center;5/4/2012 04:34;2
300;5/4/2012;1;0;Buenos Aires;La Plata;;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores - Personas vinculadas a la empresa;;;Derivado;9/4/2012;Página web de RENCAP ;5/4/2012 16:02;6
301;5/4/2012;1;0;Buenos Aires;La Plata;La Plata;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - Hay mas personas que las permitidas por la habilitación;En el acceso local;Controladores;;;Derivado;10/4/2012;Call Center;5/4/2012 16:24;6
302;31/3/2012;1;30;Córdoba;Córdoba;;Por aspecto físico - Por indumentaria;;En el acceso local;Personas vinculadas a la empresa;;;Derivado;9/4/2012;Página web de RENCAP ;5/4/2012 16:29;14
303;6/4/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;;En el acceso local;;;;Derivado;9/4/2012;Página web de RENCAP ;7/4/2012 04:45;2
304;6/4/2012;1;10;Santa Fe;Rosario;Rosario;;;En el acceso local;Controladores - Policias;;Se hizo denuncia policial;Derivado;10/4/2012;Call Center;9/4/2012 10:33;82
305;7/4/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Racial;;En el acceso local;Controladores;;;Derivado;10/4/2012;Call Center;9/4/2012 14:28;2
306;1/3/2012;1;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores;Agresión verbal;;Derivado;11/4/2012;Call Center;10/4/2012 16:44;2
307;5/4/2012;3;4;Buenos Aires;La Matanza;Tapiales;;El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación - Presencia de menores;En el acceso local - En las proximidades del local;;Agresión verbal - Agresión física;;Derivado;13/4/2012;Página web de RENCAP ;13/4/2012 03:40;6
308;13/4/2012;1;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores;Agresión física;;Derivado;16/4/2012;Call Center;16/4/2012 09:50;2
309;15/4/2012;2;30;Buenos Aires;Bahía Blanca;;Por aspecto físico;;En el acceso local;;;;Derivado;17/4/2012;Página web de RENCAP ;16/4/2012 13:22;6
310;21/4/2012;4;0;Buenos Aires;Vicente López;Olivos;;;En el interior del local;Controladores;Agresión física;;Derivado;25/4/2012;Call Center;24/4/2012 13:58;6
311;22/4/2012;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;25/4/2012;Call Center;24/4/2012 14:00;2
312;28/4/2012;7;0;Ciudad Autónoma de Buenos Aires;Barrio Colegiales;;;;En el acceso local - En las proximidades del local;Controladores;Agresión verbal;;Derivado;2/5/2012;Call Center;28/4/2012 08:32;2
313;30/4/2012;1;0;Buenos Aires;Morón;Haedo;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el interior del local - En el acceso local;Controladores;;Se hizo denuncia policial;Derivado;2/5/2012;Call Center;30/4/2012 11:37;6
314;30/4/2012;23;40;Buenos Aires;Lanús;Lanús;;;En el acceso local;Controladores;;Se hizo denuncia policial;Derivado;2/5/2012;Call Center;2/5/2012 13:26;6
315;30/4/2012;23;40;Buenos Aires;Lanús;Lanús;;El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación;En el acceso local;Personas vinculadas a la empresa;Agresión verbal;Se solicitó asistencia policial;Derivado;7/5/2012;Página web de RENCAP ;2/5/2012 22:01;6
316;26/4/2012;20;40;Buenos Aires;San Isidro;San Isidro;Por aspecto físico - Por indumentaria - Racial;;;;;;Derivado;7/5/2012;Página web de RENCAP ;4/5/2012 00:50;6
317;11/4/2012;1;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión física;;Derivado;7/5/2012;Página web de RENCAP ;4/5/2012 03:03;2
318;5/5/2012;2;30;Mendoza;Luján de Cuyo;LUJAN DE CUYO;Por aspecto físico;;En el acceso local;Controladores;Agresión verbal;;Derivado;7/5/2012;Call Center;5/5/2012 03:24;50
319;5/5/2012;11;48;Buenos Aires;La Plata;Tolosa;;Presencia de menores;;;;;Derivado;7/5/2012;Página web de RENCAP ;5/5/2012 23:48;6
320;6/5/2012;5;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Palermo;Por aspecto físico - Por indumentaria - Por religion - Por ideologia - Racial;;En el interior del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;7/5/2012;Página web de RENCAP ;6/5/2012 06:05;2
321;6/5/2012;1;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;;;;;;Derivado;7/5/2012;Página web de RENCAP ;6/5/2012 19:03;2
322;12/5/2012;3;30;Buenos Aires;La Plata;Ringuelet;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;14/5/2012;Call Center;13/5/2012 14:00;6
323;13/5/2012;5;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores - Personas vinculadas a la empresa;Agresión física;;Derivado;14/5/2012;Call Center;14/5/2012 14:01;2
324;17/5/2012;0;15;Córdoba;Córdoba;CORDOBA;Por aspecto físico - Por indumentaria;;En el acceso local;Controladores;Agresión verbal;;Derivado;17/5/2012;Call Center;17/5/2012 09:45;14
325;20/4/2012;23;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico - Por indumentaria;;;;;;Derivado;17/5/2012;Página web de RENCAP ;17/5/2012 12:25;2
326;12/5/2012;5;30;Ciudad Autónoma de Buenos Aires;Barrio Recoleta;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;22/5/2012;Call Center;17/5/2012 16:01;2
327;19/5/2012;2;15;Buenos Aires;Lomas de Zamora;Lomas de Zamora;;;En el interior del local - En las proximidades del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión física;Se solicitó asistencia policial - Se hizo denuncia policial;Derivado;22/5/2012;Página web de RENCAP ;21/5/2012 11:33;6
328;20/3/1998;2;0;Buenos Aires;General Pueyrredón;Mar del Plata;;No exhibe nomina de personal de control habilitado - Presencia de menores;En el interior del local;Controladores;Agresión física;Se hizo denuncia policial;Desestimado;22/6/2012;Call Center;24/5/2012 19:08;6
329;26/5/2012;3;0;Buenos Aires;San Miguel;San Miguel;Por aspecto físico;El personal de control no esta identificado;En el acceso local;Controladores;;;Derivado;28/5/2012;Call Center;26/5/2012 03:32;6
330;12/5/2012;1;0;Santa Fe;Rosario;Rosario;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Personas vinculadas a la empresa;;;Derivado;28/5/2012;Página web de RENCAP ;26/5/2012 15:56;82
331;25/5/2012;4;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;28/5/2012;Call Center;28/5/2012 11:26;2
332;27/5/2012;3;0;Buenos Aires;La Plata;La Plata;;;En el interior del local;Controladores;Agresión física;;Derivado;28/5/2012;Call Center;28/5/2012 13:36;6
333;27/5/2012;1;30;Ciudad Autónoma de Buenos Aires;Barrio Villa Pueyrredón;;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Personal de empresas de seguridad;Agresión verbal;;Derivado;30/5/2012;Página web de RENCAP ;29/5/2012 23:38;2
334;3/6/2012;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;;Derivado;4/6/2012;Call Center;4/6/2012 09:45;2
335;1/6/2012;3;0;Buenos Aires;Zárate;Zárate;;El personal de control no esta identificado - Presencia de menores;En el interior del local - En las proximidades del local;Controladores;Agresión verbal - Agresión física;;Derivado;4/6/2012;Call Center;4/6/2012 09:47;6
336;31/5/2012;22;50;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por aspecto físico;El personal de control no esta identificado;;;;;Derivado;4/6/2012;Página web de RENCAP ;4/6/2012 10:04;2
337;3/6/2012;23;30;Buenos Aires;General Pueyrredón;Mar del Plata;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el interior del local - En el acceso local;Controladores;Agresión verbal - Agresión física;;Derivado;4/6/2012;Página web de RENCAP ;4/6/2012 13:01;6
338;3/6/2012;2;0;Buenos Aires;La Plata;;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;4/6/2012;Call Center;4/6/2012 14:24;6
339;10/6/2012;1;45;Buenos Aires;San Isidro;San Isidro;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;12/6/2012;Página web de RENCAP ;11/6/2012 18:10;6
340;9/6/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Racial;;En el acceso local;Personal de empresas de seguridad;Agresión verbal;;Desestimado;22/6/2012;Página web de RENCAP ;12/6/2012 15:17;2
341;9/6/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Nuñez;;Racial;;En el acceso local;Controladores;Agresión verbal;;Derivado;13/6/2012;Call Center;12/6/2012 16:18;2
342;10/6/2012;1;30;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Saavedra;Racial;;;Controladores;Agresión verbal;;Desestimado;22/6/2012;Página web de RENCAP ;12/6/2012 23:15;2
343;17/6/2012;2;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por indumentaria;;En el acceso local;Controladores;;;Derivado;19/6/2012;Call Center;18/6/2012 11:18;2
344;17/6/2012;5;0;Ciudad Autónoma de Buenos Aires;Barrio Villa Soldati;;;;En el interior del local - En las proximidades del local;Personas vinculadas a la empresa;Agresión verbal - Agresión física;;Derivado;19/11/2015;Call Center;18/6/2012 16:45;2
345;20/6/2012;1;0;Buenos Aires;Quilmes;Quilmes;Por indumentaria;Presencia de menores;En el acceso local;Controladores;;;Derivado;22/6/2012;Call Center;21/6/2012 13:14;6
346;20/6/2012;2;0;Mendoza;Godoy Cruz;GODOY CRUZ;Por aspecto físico;;En el acceso local;Controladores;;;Derivado;22/6/2012;Call Center;22/6/2012 11:34;50
347;16/6/2012;20;30;Ciudad Autónoma de Buenos Aires;Barrio Almagro;;;;En el acceso local;Controladores;Agresión verbal;;Derivado;26/6/2012;Call Center;22/6/2012 15:18;2
348;6/4/2012;2;20;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;San Telmo;;No exhibe condiciones de adminsión y permanencia;En el interior del local - En el acceso local;Personal de empresas de seguridad;Agresión verbal - Agresión física;;Derivado;26/6/2012;Página web de RENCAP ;25/6/2012 04:54;2
349;24/6/2012;6;0;Buenos Aires;Bahía Blanca;;;;En el interior del local - En el acceso local;Controladores;Agresión física;Se hizo denuncia policial;Derivado;27/6/2012;Call Center;25/6/2012 09:51;6
350;24/6/2012;3;30;Buenos Aires;Ituzaingó;;;;En el interior del local;Controladores;Agresión verbal;;Derivado;26/6/2012;Call Center;26/6/2012 13:53;6
351;28/7/2011;0;48;Salta;Salta;;;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el interior del local;Controladores;;;Derivado;26/6/2012;Call Center;26/6/2012 14:06;66
352;6/3/2012;1;30;Buenos Aires;Morón;Haedo;Por aspecto físico;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;28/6/2012;Página web de RENCAP ;27/6/2012 19:32;6
353;5/6/2012;2;36;Buenos Aires;Morón;Haedo;Por aspecto físico;;En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal;;Derivado;28/6/2012;Página web de RENCAP ;27/6/2012 19:36;6
354;30/6/2012;5;0;Ciudad Autónoma de Buenos Aires;Barrio Colegiales;;Por orientacion sexual;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;Controladores - Personal de empresas de seguridad;Agresión verbal;;Derivado;2/7/2012;Página web de RENCAP ;30/6/2012 07:49;2
355;30/6/2012;2;30;Entre Ríos;Paraná;;Racial;;En el acceso local;Controladores;;;Derivado;4/7/2012;Call Center;2/7/2012 16:10;30
356;30/6/2012;2;30;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;Por indumentaria;;En el acceso local;Controladores;;;Derivado;3/7/2012;Call Center;2/7/2012 19:04;2
357;7/5/2012;11;0;Ciudad Autónoma de Buenos Aires;Barrio Villa Urquiza;;;El personal de control no esta identificado;;;;;Derivado;5/7/2012;Página web de RENCAP ;5/7/2012 11:37;2
358;7/5/2012;0;20;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Recoleta;;El personal de control no esta identificado;En el interior del local - En el acceso local;Controladores - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;6/7/2012;Página web de RENCAP ;6/7/2012 12:57;2
359;7/7/2012;18;0;Buenos Aires;Morón;Haedo;Por aspecto físico - Por indumentaria;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;10/7/2012;Página web de RENCAP ;7/7/2012 21:26;6
